Date,raw,pctl_10y,flipped_pctl,delta_12m,delta_pctl,zscore_10y,delta_zscore
1881-01-31,18.5,,,,,,
1881-02-28,18.2,,,,,,
1881-03-31,18.3,,,,,,
1881-04-30,18.0,,,,,,
1881-05-31,18.9,,,,,,
1881-06-30,19.0,,,,,,
1881-07-31,18.1,,,,,,
1881-08-31,17.3,,,,,,
1881-09-30,16.7,,,,,,
1881-10-31,16.3,,,,,,
1881-11-30,16.5,,,,,,
1881-12-31,16.0,,,,,,
1882-01-31,15.7,,,-2.8000000000000007,,,
1882-02-28,15.2,,,-3.0,,,
1882-03-31,15.1,,,-3.200000000000001,,,
1882-04-30,14.9,,,-3.0999999999999996,,,
1882-05-31,14.6,,,-4.299999999999999,,,
1882-06-30,14.3,,,-4.699999999999999,,,
1882-07-31,15.2,,,-2.900000000000002,,,
1882-08-31,15.5,,,-1.8000000000000007,,,
1882-09-30,16.1,,,-0.5999999999999979,,,
1882-10-31,15.8,,,-0.5,,,
1882-11-30,15.2,,,-1.3000000000000007,,,
1882-12-31,15.4,,,-0.5999999999999996,,,
1883-01-31,15.3,,,-0.3999999999999986,,,
1883-02-28,14.8,,,-0.3999999999999986,,,
1883-03-31,15.1,,,0.0,,,
1883-04-30,15.5,,,0.5999999999999996,,,
1883-05-31,15.3,,,0.7000000000000011,,,
1883-06-30,15.9,,,1.5999999999999996,,,
1883-07-31,16.0,,,0.8000000000000007,,,
1883-08-31,15.2,,,-0.3000000000000007,,,
1883-09-30,15.5,,,-0.6000000000000014,,,
1883-10-31,15.1,,,-0.7000000000000011,,,
1883-11-30,15.4,,,0.20000000000000107,,,
1883-12-31,14.9,,,-0.5,,,
1884-01-31,14.4,,,-0.9000000000000004,,,
1884-02-29,14.8,,,0.0,,,
1884-03-31,14.7,,,-0.40000000000000036,,,
1884-04-30,14.4,,,-1.0999999999999996,,,
1884-05-31,13.5,,,-1.8000000000000007,,,
1884-06-30,12.9,,,-3.0,,,
1884-07-31,13.0,,,-3.0,,,
1884-08-31,13.9,,,-1.299999999999999,,,
1884-09-30,13.6,,,-1.9000000000000004,,,
1884-10-31,13.3,,,-1.799999999999999,,,
1884-11-30,13.3,,,-2.0999999999999996,,,
1884-12-31,13.4,,,-1.5,,,
1885-01-31,13.1,,,-1.3000000000000007,,,
1885-02-28,13.4,,,-1.4000000000000004,,,
1885-03-31,13.7,,,-1.0,,,
1885-04-30,13.6,,,-0.8000000000000007,,,
1885-05-31,13.7,,,0.1999999999999993,,,
1885-06-30,14.0,,,1.0999999999999996,,,
1885-07-31,14.3,,,1.3000000000000007,,,
1885-08-31,15.1,,,1.1999999999999993,,,
1885-09-30,15.1,,,1.5,,,
1885-10-31,16.0,,,2.6999999999999993,,,
1885-11-30,16.8,,,3.5,,,
1885-12-31,16.3,79.66101694915254,20.33898305084746,2.9000000000000004,,0.6406926574750168,
1886-01-31,16.7,83.33333333333334,16.666666666666657,3.5999999999999996,,0.8884562303303098,
1886-02-28,17.0,86.88524590163934,13.114754098360663,3.5999999999999996,,1.0657142594216436,
1886-03-31,16.8,83.87096774193549,16.129032258064512,3.1000000000000014,,0.9213256809877951,
1886-04-30,16.8,82.53968253968253,17.46031746031747,3.200000000000001,,0.908115775799577,
1886-05-31,16.9,85.9375,14.0625,3.1999999999999993,,0.9590879252874608,
1886-06-30,17.8,89.23076923076924,10.76923076923076,3.8000000000000007,,1.5092592292392986,
1886-07-31,17.9,89.39393939393939,10.606060606060609,3.599999999999998,,1.5339228957373523,
1886-08-31,17.7,86.56716417910447,13.432835820895534,2.5999999999999996,,1.3753403581683952,
1886-09-30,18.2,92.64705882352942,7.35294117647058,3.0999999999999996,,1.6471372506459427,
1886-10-31,18.6,97.10144927536231,2.898550724637687,2.6000000000000014,,1.837638940704298,
1886-11-30,19.0,98.57142857142858,1.4285714285714164,2.1999999999999993,,2.008494033124156,
1886-12-31,18.2,88.73239436619718,11.267605633802816,1.8999999999999986,63.38028169014085,1.4913628562838939,0.8575288160104689
1887-01-31,17.5,80.55555555555556,19.444444444444443,0.8000000000000007,54.166666666666664,1.0573881104291485,0.3586137897820281
1887-02-28,17.1,78.08219178082192,21.917808219178085,0.10000000000000142,47.94520547945205,0.809415889596098,0.04059421169267907
1887-03-31,17.5,79.72972972972973,20.270270270270274,0.6999999999999993,52.702702702702695,1.0341846683826315,0.31243787802934697
1887-04-30,17.8,82.66666666666667,17.33333333333333,1.0,57.333333333333336,1.1940199675791248,0.4465316357113946
1887-05-31,18.1,86.8421052631579,13.157894736842096,1.2000000000000028,60.526315789473685,1.3474525858800954,0.5340057143449434
1887-06-30,17.7,79.22077922077922,20.77922077922078,-0.10000000000000142,42.857142857142854,1.0945253622917228,-0.07194703408334292
1887-07-31,17.4,75.64102564102564,24.358974358974365,-0.5,34.61538461538461,0.9062928714193543,-0.25795648383866404
1887-08-31,16.7,63.29113924050633,36.70886075949367,-1.0,25.31645569620253,0.4876221461731498,-0.4902199898520073
1887-09-30,16.7,62.5,37.5,-1.5,17.5,0.4839219159365807,-0.7203033958031023
1887-10-31,15.9,51.85185185185185,48.14814814814815,-2.700000000000001,11.11111111111111,0.005140444111209789,-1.2693290137200866
1887-11-30,16.0,53.65853658536586,46.34146341463414,-3.0,4.878048780487805,0.06496530355510952,-1.382633994238655
1887-12-31,15.5,44.57831325301205,55.42168674698795,-2.6999999999999993,13.253012048192772,-0.2364786150795888,-1.2192322320732243
1888-01-31,15.4,41.66666666666667,58.33333333333333,-2.0999999999999996,14.285714285714285,-0.2955224744415541,-0.924845411873377
1888-02-29,15.4,41.17647058823529,58.82352941176471,-1.700000000000001,21.176470588235293,-0.29366878325199003,-0.728765040087815
1888-03-31,14.8,23.25581395348837,76.74418604651163,-2.6999999999999993,12.790697674418606,-0.657802898957264,-1.1820071235254588
1888-04-30,15.0,28.735632183908045,71.26436781609195,-2.8000000000000007,10.344827586206897,-0.5303205141136224,-1.2090135144436747
1888-05-31,15.4,42.04545454545455,57.95454545454545,-2.700000000000001,12.5,-0.2803875110999505,-1.144443183321276
1888-06-30,15.1,29.213483146067414,70.78651685393258,-2.5999999999999996,16.853932584269664,-0.46440074535553255,-1.0821694943828883
1888-07-31,15.3,40.0,60.0,-2.099999999999998,20.0,-0.33701260784157155,-0.8389144163277032
1888-08-31,15.6,52.74725274725275,47.25274725274725,-1.0999999999999996,32.967032967032964,-0.14727588258329222,-0.3672747726305677
1888-09-30,16.0,57.608695652173914,42.391304347826086,-0.6999999999999993,40.21739130434783,0.10541202691129752,-0.17749882912124676
1888-10-31,15.7,52.68817204301075,47.31182795698925,-0.20000000000000107,51.61290322580645,-0.08510694810163856,0.0593898386801448
1888-11-30,15.2,34.04255319148936,65.95744680851064,-0.8000000000000007,37.234042553191486,-0.4026427132668922,-0.22565254168384186
1888-12-31,15.0,26.31578947368421,73.6842105263158,-0.5,44.21052631578947,-0.5276897325685351,-0.08109764578207115
1889-01-31,15.8,55.208333333333336,44.791666666666664,0.40000000000000036,59.375,-0.011369226689436825,0.3514001600471816
1889-02-28,16.2,64.94845360824742,35.05154639175258,0.7999999999999989,62.88659793814433,0.24678231735918474,0.5415780574567215
1889-03-31,16.1,63.26530612244898,36.73469387755102,1.3000000000000007,69.38775510204081,0.18065407521515703,0.7781693500619666
1889-04-30,16.1,62.62626262626263,37.37373737373737,1.1000000000000014,66.66666666666666,0.17972808115397398,0.6747810506400272
1889-05-31,16.9,76.0,24.0,1.4999999999999982,71.0,0.7011856989546366,0.8623592145910671
1889-06-30,17.2,79.20792079207921,20.792079207920793,2.0999999999999996,74.25742574257426,0.8912551570307338,1.1420541886033653
1889-07-31,16.9,74.50980392156863,25.490196078431367,1.5999999999999979,71.56862745098039,0.6880967198712044,0.888129738872179
1889-08-31,17.1,77.66990291262135,22.330097087378647,1.5000000000000018,70.87378640776699,0.8139987459112141,0.8313266843976994
1889-09-30,17.4,80.76923076923077,19.230769230769226,1.3999999999999986,68.26923076923077,1.0033055865958986,0.7754287393294697
