,margin_debt,market_cap,ratio,pctl,zscore,delta_12m,delta_pctl
1997-01-31,103337,7575790.0,1.3640425618978351,,,,
1997-02-28,103886,7559420.0,1.37425887171238,,,,
1997-03-31,104835,7213530.0,1.453310653729866,,,,
1997-04-30,102842,7519290.0,1.3677089193261598,,,,
1997-05-31,111097,8038500.0,1.3820613298500963,,,,
1997-06-30,118843,8396870.0,1.4153249960997372,,,,
1997-07-31,121090,9031430.0,1.3407622048778542,,,,
1997-08-31,124404,8679980.0,1.4332291088228315,,,,
1997-09-30,131962,9180210.0,1.4374616702668022,,,,
1997-10-31,134491,8865250.0,1.5170581765883646,,,,
1997-11-30,132741,9142430.0,1.4519225195052081,,,,
1997-12-31,131560,9298190.0,1.4148990287357002,,,,
1998-01-31,132912,9340800.0,1.422918807810894,,,0.058876245913058955,
1998-02-28,141328,10006440.0,1.412370433440864,,,0.038111561728483956,
1998-03-31,146536,10494720.0,1.3962830833028417,,,-0.05702757042702422,
1998-04-30,146589,10609610.0,1.3816624739269399,,,0.013953554600780071,
1998-05-31,150293,10314180.0,1.4571492838015236,,,0.07508795395142731,
1998-06-30,154357,10663610.0,1.4475116775651022,,,0.032186681465365075,
1998-07-31,160980,10420260.0,1.5448750798924402,,,0.20411287501458597,
1998-08-31,155879,8785710.0,1.7742333858049038,,,0.34100427698207225,
1998-09-30,144541,9346810.0,1.5464206504679137,,,0.1089589802011115,
1998-10-31,138399,10032190.0,1.3795492310253294,,,-0.13750894556303517,
1998-11-30,148697,10650200.0,1.396189742915626,,,-0.05573277658958209,
1998-12-31,148674,11317590.0,1.313654232040567,,,-0.10124479669513309,
1999-01-31,162322,11724830.0,1.3844294544142643,,,-0.03848935339662973,
1999-02-28,162909,11286080.0,1.4434506932433582,,,0.03108025980249418,
1999-03-31,166212,11707670.0,1.4196847024215749,,,0.023401619118733175,
1999-04-30,184329,12259360.0,1.5035776745278708,,,0.12191520060093097,
1999-05-31,189950,11976750.0,1.5859895213643098,,,0.12884023756278618,
1999-06-30,187695,12583600.0,1.4915842843065579,,,0.04407260674145563,
1999-07-31,189503,12189840.0,1.554597927454339,,,0.009722847561898673,
1999-08-31,187616,12042230.0,1.55798386179304,,,-0.21624952401186381,
1999-09-30,189741,11713800.0,1.6198074066485684,,,0.07338675618065471,
1999-10-31,194259,12449400.0,1.56038845245554,,,0.18083922143021058,
1999-11-30,218304,12851930.0,1.6986086914572363,,,0.3024189485416102,
1999-12-31,241967,13812670.0,1.7517757247512609,,,0.4381214927106938,
2000-01-31,260409,13230620.0,1.968229757940293,,,0.5838003035260286,
2000-02-29,284206,13511000.0,2.1035156539116273,,,0.6600649606682691,
2000-03-31,299933,14296180.0,2.097994009588575,,,0.6783093071670003,
2000-04-30,268716,13541700.0,1.9843594231152661,,,0.4807817485873953,
2000-05-31,256862,13052960.0,1.9678448413233474,,,0.38185531995903754,
2000-06-30,264471,13618500.0,1.9419980174027975,,,0.45041373309623967,
2000-07-31,263729,13330310.0,1.978416105852002,,,0.4238181783976631,
2000-08-31,265166,14280040.0,1.8568995605054328,,,0.2989156987123929,
2000-09-30,270208,13613330.0,1.9848780570220512,,,0.36507065037348285,
2000-10-31,250965,13314680.0,1.8848744393406374,,,0.32448598688509733,
2000-11-30,237913,11976240.0,1.9865416858713587,,,0.28793299441412246,
2000-12-31,210385,12175880.0,1.72788332342303,,,-0.023892401328230894,
2001-01-31,208687,12631360.0,1.6521340536569302,,,-0.31609570428336276,
2001-02-28,198887,11425290.0,1.7407610660210813,,,-0.36275458789054604,
2001-03-31,174797,10645850.0,1.6419261965930385,,,-0.45606781299553667,
2001-04-30,176096,11512460.0,1.5296122635822405,,,-0.4547471595330257,
2001-05-31,183041,11610220.0,1.5765506596774221,,,-0.3912941816459252,
2001-06-30,179585,11407150.0,1.5743196153289822,,,-0.3676784020738153,
2001-07-31,173680,11208510.0,1.5495369143623907,,,-0.4288791914896113,
2001-08-31,169316,10515090.0,1.6102192182853403,,,-0.2466803422200925,
2001-09-30,157931,9562950.0,1.651488295975614,,,-0.33338976104643714,
2001-10-31,152367,9796860.0,1.5552636252840197,,,-0.32961081405661763,
2001-11-30,159440,10531450.0,1.5139415749967955,,,-0.4726001108745632,
2001-12-31,160473,10707680.0,1.4986719812321625,40.67796610169492,-0.4394609838445273,-0.22921134219086747,
2002-01-31,160906,10564690.0,1.523054628200165,46.666666666666664,-0.32283537401662976,-0.12907942545676532,
2002-02-28,154931,10332890.0,1.4993965870148622,40.98360655737705,-0.42987329132039376,-0.24136447900621905,
2002-03-31,160089,10775740.0,1.4856427493610647,37.096774193548384,-0.49008444376726895,-0.15628344723197385,
2002-04-30,159072,10241180.0,1.5532585112262454,55.55555555555556,-0.16693611804984898,0.023646247644004914,
2002-05-31,157802,10106490.0,1.5613927288306821,62.5,-0.1269311953071674,-0.015157930846739998,
2002-06-30,153972,9384030.0,1.6407875933900467,70.76923076923077,0.25480117802744223,0.06646797806106441,
2002-07-31,143905,8616940.0,1.6700243938103316,75.75757575757575,0.39375571051266917,0.12048747944794092,
2002-08-31,139146,8654040.0,1.607873316971033,65.67164179104478,0.08853206065573606,-0.0023459013143072305,
2002-09-30,136107,7773630.0,1.750880862608588,80.88235294117648,0.7852534155363207,0.09939256663297402,
2002-10-31,138647,8357320.0,1.6589887667338334,73.91304347826086,0.3277085016261218,0.10372514144981371,
2002-11-30,139472,8846710.0,1.5765408835601031,60.0,-0.08256870653861947,0.06259930856330764,
2002-12-31,139451,8343190.000000001,1.6714350266504776,76.05633802816901,0.3905747513598876,0.1727630454183151,60.56338028169014
2003-01-31,141391,8125070.0,1.740181930740289,79.16666666666666,0.7299398023406729,0.21712730254012413,63.888888888888886
2003-02-28,140516,7972600.0,1.7624865163183905,83.56164383561644,0.8332424355108381,0.26308992930352826,64.38356164383562
2003-03-31,144267,8051860.0,1.7917226578703556,85.13513513513513,0.9688774293453889,0.3060799085092909,68.91891891891892
